id,article,highlights,summarizations,rating,summarizations_prompt,rating_prompt
92c514c913c0bdfe25341af9fd72b29db544099b,"Ever noticed how plane seats appear to be getting smaller and smaller? With increasing numbers of people taking to the skies, some experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger. More than squabbling over the arm rest, shrinking space on planes putting our health and safety in danger? This week, a U.S consumer advisory group set up by the Department of Transportation said at a public hearing that while the government is happy to set standards for animals flying on planes, it doesn't stipulate a minimum amount of space for humans. 'In a world where animals have more rights to space and food than humans,' said Charlie Leocha, consumer representative on the committee. 'It is time that the DOT and FAA take a stand for humane treatment of passengers.' But could crowding on planes lead to more serious issues than fighting for space in the overhead lockers, crashing elbows and seat back kicking? Tests conducted by the FAA use planes with a 31 inch pitch, a standard which on some airlines has decreased . Many economy seats on United Airlines have 30 inches of room, while some airlines offer as little as 28 inches . Cynthia Corbertt, a human factors researcher with the Federal Aviation Administration, that it conducts tests on how quickly passengers can leave a plane. But these tests are conducted using planes with 31 inches between each row of seats, a standard which on some airlines has decreased, reported the Detroit News. The distance between two seats from one point on a seat to the same point on the seat behind it is known as the pitch. While most airlines stick to a pitch of 31 inches or above, some fall below this. While United Airlines has 30 inches of space, Gulf Air economy seats have between 29 and 32 inches, Air Asia offers 29 inches and Spirit Airlines offers just 28 inches. British Airways has a seat pitch of 31 inches, while easyJet has 29 inches, Thomson's short haul seat pitch is 28 inches, and Virgin Atlantic's is 30-31.","Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .", be a thing of the past? The DOT is currently considering a proposal to increase the amount of space between seats from 31 inches to 32 inches. The proposal is part of a larger plan to increase the amount of space between seats on planes. The DOT is also considering a proposal to increase the amount of space between seats from 31 inches to 32 inches. The proposal is part of a larger plan to increase the amount of space between seats on planes. The DOT is also considering a proposal to increase the amount of space between seats from 31 inches to 32 inches.,0.0,"iantum of space passengers need to be comfortable. 'We have a standard for animals, but not for humans,' she said. 'We need to have a standard for humans.' The FAA is currently working on a new rule that would require airlines to provide a minimum of 31 inches of pitch for economy passengers. But the FAA is not the only one to have noticed the shrinking space on planes. The International Air Transport Association (IATA) has also been looking into the issue. It has been working on a new standard for airlines to provide a minimum of 31 inches of pitch for economy",4.5
2003841c7dc0e7c5b1a248f9cd536d727f27a45a,"A drunk teenage boy had to be rescued by security after jumping into a lions' enclosure at a zoo in western India. Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the animals, shouting he would 'kill them'. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. Next level drunk: Intoxicated Rahul Kumar, 17, climbed into the lions' enclosure at a zoo in Ahmedabad and began running towards the animals shouting 'Today I kill a lion!' Mr Kumar had been sitting near the enclosure when he suddenly made a dash for the lions, surprising zoo security. The intoxicated teenager ran towards the lions, shouting: 'Today I kill a lion or a lion kills me!' A zoo spokesman said: 'Guards had earlier spotted him close to the enclosure but had no idea he was planing to enter it. 'Fortunately, there are eight moats to cross before getting to where the lions usually are and he fell into the second one, allowing guards to catch up with him and take him out. 'We then handed him over to the police.' Brave fool: Fortunately, Mr Kumar  fell into a moat as he ran towards the lions and could be rescued by zoo security staff before reaching the animals (stock image) Kumar later explained: 'I don't really know why I did it. 'I was drunk and thought I'd stand a good chance.' A police spokesman said: 'He has been cautioned and will be sent for psychiatric evaluation. 'Fortunately for him, the lions were asleep and the zoo guards acted quickly enough to prevent a tragedy similar to that in Delhi.' Last year a 20-year-old man was mauled to death by a tiger in the Indian capital after climbing into its enclosure at the city zoo.","Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued ."," before you can get to the lions. He was caught by the guards before he could get to the lions. 'He was drunk and thought he'd stand a good chance against the lions. 'He was taken to the police station and later released on bail. 'He was fined 50,000 rupees (£560) and told not to return to the zoo. 'He was also told not to drink alcohol. 'He was told he could be jailed for up to three years if he was caught in the enclosure again.",4.0," spokesman said: 'He was drunk and was trying to kill the lions. 'He was taken to the police station and later released on bail.' The teenager was later released on bail.Output: A teenager was arrested after he climbed into a lions' enclosure at a zoo in western India and began running towards the animals, shouting he would 'kill them'. Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the",7.5
91b7d2311527f5c2b63a65ca98d21d9c92485149,Dougie Freedman is on the verge of agreeing a new two-year deal to remain at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce and the club's owners are pleased with the job he has done at the City Ground. Dougie Freedman is set to sign a new deal at Nottingham Forest . Freedman has impressed at the City Ground since replacing Stuart Pearce in February . They made an audacious attempt on the play-off places when Freedman replaced Pearce but have tailed off in recent weeks. That has not prevented Forest's ownership making moves to secure Freedman on a contract for the next two seasons.,"Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",provement in the club's fortunes. He has been linked with a move to Bristol City but the club's owners are keen to keep him at the City Ground. Freedman has been in charge of Forest since February and has,4.0,,0.0
caabf9cbdf96eb1410295a673e953d304391bfbb,"Liverpool target Neto is also wanted by PSG and clubs in Spain as Brendan Rodgers faces stiff competition to land the Fiorentina goalkeeper, according to the Brazilian's agent Stefano Castagna. The Reds were linked with a move for the 25-year-old, whose contract expires in June, earlier in the season when Simon Mignolet was dropped from the side. A January move for Neto never materialised but the former Atletico Paranaense keeper looks certain to leave the Florence-based club in the summer. Neto rushes from his goal as Juan Iturbe bears down on him during Fiorentina's clash with Roma in March . Neto is wanted by a number of top European clubs including Liverpool and PSG, according to his agent . It had been reported that Neto had a verbal agreement to join Serie A champions Juventus at the end of the season but his agent has revealed no decision about his future has been made yet. And Castagna claims Neto will have his pick of top European clubs when the transfer window re-opens in the summer, including Brendan Rodgers' side. 'There are many European clubs interested in Neto, such as for example Liverpool and Paris Saint-Germain,' Stefano Castagna is quoted as saying by Gazzetta TV. Firoentina goalkeeper Neto saves at the feet of Tottenham midfielder Nacer Chadli in the Europa League . 'In Spain too there are clubs at the very top level who are tracking him. Real Madrid? We'll see. 'We have not made a definitive decision, but in any case he will not accept another loan move elsewhere.' Neto, who represented Brazil at the London 2012 Olympics but has not featured for the senior side, was warned against joining a club as a No 2 by national coach Dunga. Neto joined Fiorentina from Atletico Paranaense in 2011 and established himself as No1 in the last two seasons.","Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .","opean clubs when he becomes a free agent in the summer. He told Tuttosport: ""There are many clubs interested in Neto, including Liverpool, PSG, Atletico Madrid and Barcelona. ""He is a great goalkeeper and he will have his pick of clubs. ""He is a great goalkeeper and he will have his pick of clubs. ""He is a great goalkeeper and he will have his pick of clubs. ""He is a great goalkeeper and he will have his pick of clubs. ""He is a great goalkeeper and he will have his pick of clubs. ""He is a great",0.0,■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,0.0
3da746a7d9afcaa659088c8366ef6347fe6b53ea,"Bruce Jenner will break his silence in a two-hour interview with Diane Sawyer later this month. The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24, ABC News announced on Monday. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February. And while the Kardashian women are known for enjoying center stage, they will not be stealing Bruce's spotlight because they will be in Armenia when the interview airs, according to TMZ. Scroll down for video . Speaking out: Bruce Jenner, pictured on 'Keeping Up with the Kardashians' will speak out in a 'far-ranging' interview with Diane Sawyer later this month, ABC News announced on Monday . Return: Diane Sawyer, who recently mourned the loss of her husband, will return to ABC for the interview . Rumors started swirling around Jenner's gender identity last year, when he emerged from a Beverly Hills clinic with his Adam's apple shaved down. His behavior over the past year also fueled speculation as he began embracing an increasingly female appearance, including growing out his hair, shaving his legs and painting his nails, while reportedly undergoing hormone therapy. He also split from with his wife of more than two decades, Kris Jenner, with whom he has two daughters, Kyle and Kendall. She filed for divorce in September 2014, citing 'irreconcilable differences'. Reports also emerged over the past week that he has received a breast enhancement. 'Bruce had silicone breast implants put in a few weeks ago,' a source told RadarOnline. 'He went with a smaller implant because he didn't want to look ridiculous.' On Sunday, he was seen walking to his car in Malibu but hid his body beneath a bulky sweatshirt. Out and about: Jenner was pictured walking back to his car in Malibu on the weekend and hiding beneath a large sweatshirt on Sunday, days after reports that he had undergone a breast enhancement . Hiding: He also apparently had painted his nails red when he was seen walking on Sunday . According to Radar, Jenner wants to have all surgeries completed in time to make his on-screen debut as a woman on the fall season of 'Dancing with the Stars'. Jenner is also rumored to be filming a spin-off docu-series about the transition on E!, although his reps have refused to confirm the claims. While Jenner himself has remained silent about his reported transition, some of his relatives, including step-daughter Kim Kardashian, have spoken about about his 'journey'. 'I guess I'll kind of let everyone be curious and I feel like that's his journey to talk about,' Kim recently told Entertainment Tonight. 'I will say that I think Bruce should tell his story his way. I think everyone goes through things in life and I think that story and what Bruce is going through, I think he'll share whenever the time is right.' Jenner, who won gold in the decathlon at the 1976 Olympics, also made headlines earlier this year for his involvement in a deadly car crash in Malibu. Deadly: In February, Jenner's vehicle, which was pulling a trailer and an ATV (seen right) rear-ended a woman's car (left) and pushed it into the lane of an oncoming Hummer. She died at the scene . By his side: Bruce, pictured with his ex-wife Kris Jenner and four of his step-children (from left) Rob, Kim, Kourtney and Khloe, has received support from his family. Kris filed for divorce from him last year . His Cadillac Escalade, which was pulling a trailer and off-road vehicle, plowed into the back of a Lexus and pushed it into the path of an oncoming Hummer on February 7. The Lexus was carrying 69-year-old Kim Howe, who died from chest trauma at the scene. Police sources say Jenner is unlikely to be prosecuted because he wasn't drinking, speeding or texting at the time of the fatal crash. His tell-all interview will also be one of Sawyer's first forays back to TV news following the death of her husband, acclaimed director Mike Nichols, following a heart attack last November. Last September, she left the anchor chair of ABC World News and announced that she planned to focus on specials. In February, she presented 'A Nation of Women Behind Bars', in which she went to prisons across the country to speak with female inmates.","Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","x news live stream free for the interview, which will air on Friday April 24 at 9pm EST . The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February . The 65-year-old will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24 at 9pm EST . The interview comes amid growing speculation about the father-of-six'",4.5," Jenner, and began dating Chrystie Crownover, a 25-year-old woman. The 65-year-old father of six will speak out in a 'far-ranging' interview with Diane Sawyer later this month, ABC News announced on Monday . The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February . The 65-year-old father of six will speak out in a 'far-ranging' interview with D",4.0
5ed5e3fbd235a8046cd3b87f4a1aa51b856c8ec3,"This is the moment that a crew of firefighters struggled to haul a giant  pig out of a garden swimming pool. The prize porker, known  as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. A team from Dorset Fire and Rescue struggled to haul the huge black pig out of swimming pool water . The prize porker known as Pigwig had fallen into the water and had then been unable to get out again . Two fire crews and a specialist animal rescue team had to use slide boards and strops to haul the huge black pig from the small pool. A spokesman for Dorset Fire and Rescue Service said: 'At 4.50pm yesterday the service received a call to a pig stuck in a swimming pool. 'One crew of firefighters from Ferndown and a specialist animal rescue unit from Poole were mobilised to this incident. 'Once in attendance the crew secured the pig with strops, and requested the attendance of another appliance which was mobilised from Ringwood by our colleagues in Hampshire Fire and Rescue Service. Firefighters were also called out to a horse which had fallen into a swimming pool in Heyshott, West Sussex . The exhausted animal had to be winched to using an all-terrain crane but appeared no worse for wear after its tumble . 'The crew rescued the pig from the swimming pool using specialist animal rescue slide boards, strops and lines to haul the pig from the swimming pool.' But Pigwig wasn't the only animal who needed rescuing after taking an unexpected swim . Crews in West Sussex were called out to a swimming pool where this time a horse had fallen in. Wet and very bedraggled, the exhausted animal put up no opposition when firefighters arrived to hoist her out of the small garden pool in Heyshott. The two-hour rescue operation ended with the wayward horse being fitted with straps under her belly and lifted up into the air with an all-terrain crane before being swung around and deposited back on dry land. A fire brigade spokesman said that she appeared none the worse for her impromptu swim after stepping over the edge of the domestic pool.","Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex ."," arrival at the scene, the crew found a pig stuck in a swimming pool. 'The crew used a slide board and strops to haul the pig out of the pool. 'The pig was then handed over to the owners. 'The pig was uninjured and the owners were very grateful to the crew for their assistance. 'The pig was then handed over to the owners. 'The pig was uninjured and the owners were very grateful to the crew for their assistance. 'The pig was uninjured and the owners were very grateful to",4.0, pool and returned it to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners. 'The pig was uninjured and was returned to its owners.,0.0
6394f51b120ceb3da5e7b53dd5167fc4cf80b514,"The amount of time people spend listening to BBC radio has dropped to its lowest level ever, the corporation’s boss has admitted. Figures show that while millions still tune in, they listen for much shorter bursts. The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014, according to official figures. The length of time people spend listening to BBC radio has dropped to its lowest level ever, figures show . This was 14 per cent down on a decade earlier, when listeners clocked up an average of 11.6 hours a week. The minutes of the BBC Trust’s February meeting, published yesterday, revealed that director general Tony Hall highlighted the fall. ‘He noted…that time spent listening to BBC radio had dropped to its lowest ever level,’ the documents said. Sources blamed the downward trend on people leading faster-paced lives than in the past, and a change in habits amongst young people. Lord Tony Hall, BBC director general, highlighted the decline to the BBC Trust, according to minutes of its February meeting . Many people who used to listen to radio as a daily habit now turn to online streaming services such as Spotify for their music fix. That problem is likely to grow, as Apple develops its long-rumoured streaming service. A BBC spokesman said: ‘The number of people listening to BBC radio stations and audience appreciation levels are as high as ever. ‘But time spent listening has inevitably been affected by digital competition and as people ‘tune in’ in new, digital ways. ‘[Those ways] aren’t reflected in the traditional listening figures quoted here – like watching videos from radio shows or listening to podcasts.’ BBC radio is still reaching 65 per cent of the population each week, according to the last set of figures available from RAJAR, the organisation which measures radio audiences. But although that figure feels relatively healthy by today’s standards, it has none the less fallen by more over the last decade. In the final three months of 2004, 66 per cent of people in Britain listened to BBC network radio every week. Lord Hall also used the BBC Trust meeting to note the strong performance of BBC Radio 6, the digital music station which the Corporation had at one point been planning to scrap. ‘He reported that the recent RAJAR figures showed that 6Music had become the first digital-only station to reach two million listeners,’ the minutes said. Earlier this month, Matthew Postgate, the BBC’s chief technology officer, said the Corporation would adopt a new ‘digital first’ strategy, to help it target a new generation of users. He said the organisation needed to ‘learn lessons’ if they want to ‘compete with organisations that were born in the digital age’.","Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.","riesman, the former Labour minister who chairs the BBC Trust, said: ‘The BBC is a public service broadcaster and it is important that it is seen to be relevant to the public. ‘It is important that the BBC is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to be relevant to the public and that it is seen to",0.0,"…- death place is london , england- caption is sir john hugill- order is 1st baronet of hugill- successor is sir john hugill- death date is 1685- predecessor is sir john hugill- office is lord mayor of london- term end is 1685- term start is 1684",0.0
98be9b2d558c17df8a13597195957a7c8587ddcd,"(CNN)So, you'd like a ""Full House"" reunion and spinoff? You got it, dude! Co-star John Stamos announced Monday night on ""Jimmy Kimmel Live"" that Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House."" The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner in the original series -- which aired from 1987 to 1995 -- as the recently widowed mother of three boys. ""It's sort of a role reversal, and we turn the house over to her,"" Stamos told Kimmel. Jodie Sweetin, who played Stephanie Tanner in the original series, and Andrea Barber, who portrayed D.J.'s best friend Kimmy Gibbler, will both return for the new series, Netflix said. Stamos will produce and guest star. Talks with co-starsBob Saget, Mary-Kate and Ashley Olsen, Dave Coulier and Lori Loughlin are ongoing, Netflix said. The show will be available next year, Netflix said. ""As big fans of the original Full House, we are thrilled to be able to introduce Fuller House's new narrative to existing fans worldwide, who grew up on the original, as well as a new generation of global viewers that have grown up with the Tanners in syndication,""  Netflix Vice President of Original Content Cindy Holland said in a statement. The show starts with Tanner -- now named Tanner-Fuller (get it ... Fuller?) -- pregnant, recently widowed and living in San Francisco. Her younger sister Stephanie -- now an aspiring musician -- and her lifelong best friend and fellow single mom, Kimmy, move in to help her care for her two boys and the new baby. On Monday, Barber tweeted Cameron Bure to ask whether she was ready to resume their onscreen friendship. ""We never stopped,"" Cameron Bure tweeted back. Fans were over the moon at the news.","Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""","A: The original Full House is coming back to Netflix. - birth date is 1964- birth place is new york city , new york , u.s.- occupation is actor , writer , directorGiven the details above, guess who could this information be about.- birth date is 1964- birth place is new york city , new york , u.s.- occupation",0.0,"vie (Sweetin) and her teenage daughter Ramona (Sadie Sandler) move in to help her raise her three sons. The show will be shot in front of a live studio audience, Netflix said. The original ""Full House"" was a family comedy that followed the lives of widowed father Danny Tanner (Saget) and his two daughters, D.J. and Stephanie, as they moved in with Danny's brother-in-law Jesse and his three sons. The show was a huge hit for ABC, running for eight seasons. The Olsen tw",4.0
57f68638739c3a1de8d9922b389d6ded39977012,"At 11:20pm, former world champion Ken Doherty potted a final black and extinguished, for now, the dream of Reanne Evans to become the first women player to play the hallowed baize of Sheffield's Crucible Theatre in the world snooker championship. In every other respect however, 29-year-old Evans, a single mum from Dudley, was a winner on Thursday night. She advanced the cause of women in sport no end and gave Doherty the fright of his life in an enthralling and attritional match that won't be bettered in this year's qualifying tournament. Snooker's governing body had been criticised in some quarters for allowing Evans a wild card to compete alongside 127 male players for the right to play in the sport's blue-chip event on April 18 - something no female had achieved. Reanne Evans shakes hands with Ken Doherty following his 10-8 victory at Ponds Forge . Evans plays a shot during her world championship qualifying match against Doherty . Doherty, who won the World Championship title back in 1997, took out the first frame 71-15 . Evans had Doherty in all sorts of trouble before the former champion closed out the game 10-8 . Those critics and the bookies who made Doherty a ridiculously short-priced 20/1 on favourite were made to look foolish as Evans had her illustrious opponent on the ropes before finally bowing out 10-8. A gracious Doherty admitted afterwards: 'She played out of her skin. It was good match play snooker and tough all the way through. There was a lot of pressure on this match, a different kind of pressure to what I've ever experienced. 'I don't usually feel sympathy for my opponents but I felt sorry at the end. She played better than me and lost. I don't know how I won that final frame. If it had gone to 9-9, I'd have been a million-to-one to win it.' Evans, cheered on by her eight-year-old daughter Lauren at the Ponds Forge sports centre in Sheffield, admitted she was exhausted after a match of unfamiliar intensity for her. A 10-time ladies' champion, Evans had led twice during the opening session before Doherty went 5-4 in front . The 10-time ladies world champion collected just £400 as prize money for winning the title in 2013, and this was a completely different environment against a player who beat Stephen Hendry to be crowned the best player in the world in 1997. 'It was a struggle. With the experience Ken had, I just had to dig in,' she said. 'Ken had little runs when he needed it but I could tell he was under pressure. Some of the balls were wobbling in from the first frame. I just couldn't take advantage in the end. 'I can play better than I did so there is no reason I can't return and beat Ken or even players above him. I have the women's game on my shoulders. I just hope I get some help and am allowed to play in more big tournaments to give me experience. 'Next week, I will playing the ladies in the club again. It's a lovely club don't get me wrong but I don't think many ladies could give Ken a game. I think I would have won if I'd taken it to 9-9.' The presence of television crews and snooker star Ronnie O'Sullivan underlined what a big story Evans' participation was. Evans eyes up her move during an enthralling game with Doherty in Sheffield . She lost the first frame convincingly but the nerves didn't show after that. She reeled off three frames in a row, led 4-3 and once Doherty went in front, pegged him back to 5-5 and 6-6. The Irishman, now ranked No 46 in the world, started to look his 45 years. He sat down at every opportunity while Evans often stood while he played. She had the confidence to play right-handed or left-handed, as O'Sullivan sometimes does. The key frame was the sixteenth. It lasted 45 minutes with Evans rattling off the first 59 points and Doherty the next 74. It took Doherty to a 9-7 lead but Evans came roaring back in the next frame. He needed a snooker to avoid the match going into a final frame – and he got it. Doherty, now ranked No 46 in the world, showed his experience to close out the contest . He has two more qualifying rounds before he makes the Crucible but it's doubtful he will face a tougher opponent. 'They should let her play in more competitions,' he added. Evans should certainly use this match to become a leading ambassador for women's sport. Her purple and silver waistcoats drew admiring glances from the swimmers and trampolinists who turned up at the leisure centre as normal as she walked through reception to the basketball hall, where 10 snooker tables had been set up. Next time they will know exactly who she is, and what she can do.","Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 ."," Evans, who has been playing snooker since she was 11, was the first woman to win a match in the world championship qualifying tournament, beating the likes of former world champion James Wattana and former world number one Mark Williams. She was also the first woman to win a match in the world championship qualifying tournament, beating the likes of former world champion James Wattana and former world number one Mark Williams. She was also the first woman to win a match in the world championship qualifying tournament, beating the likes of former world champion James Wattana and former world number one",0.0,"ps. She was brilliant. I'm not sure I've ever played against a better player. She's a great player and I'm sure she'll be back.' Evans, who had been a wild card for the tournament, had been given a bye into the second round and was drawn against Doherty, who had beaten 16-year-old Jack Lisowski 10-6 in the first round. Doherty, who had been a wild card for the tournament, had been given a bye into the second round and was drawn against Doherty, who",2.0
20778c35c19d741cc182719de336d71e1a0b228e,"A gang of six men have been jailed for a total of 31 years after being convicted of a string of sexual offences against teenager girls. The offences, which ranged from inciting sexual activity with a child, to rape, happened in cars, woods or at the defendants' homes in Banbury, Oxfordshire. Oxford Crown Court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been handed sentences of between three and nine years in jail. Jailed: Ahmed Hassan-Sule, 21 (left) was sentenced to nine years' imprisonment. Mohamed Saleh, 22, (right) was imprisoned for four years and nine months . The girls, aged between 13 and 16, were targeted by the gang  at under-18s parties organised by Ahmed Hassan-Sule, 21, known as 'Fiddy'. One child described the parties as 'a place where girls would go and the boys would choose their targets'. The victims, who were described in court as 'emotionally immature' were abused from 2009 to 2014. Sentencing Hassan-Sule and the others in a court packed with friends and relatives of the defendants and victims yesterday, Judge Zoe Smith said: 'You put on charity events to raise money for your football club. 'This raised your profile among young people in Banbury and you saw yourself as a celebrity. 'Your friends helped put on these events and you became a sexually promiscuous group, not with your own girlfriends, but with girls who were young, vulnerable and lacking in maturity.' The judge rejected the argument put forward by the defence, who accused the girls of coming forward because 'it's better to be a victim than a slag'. Behind bars: Kagiso Manase, 26, (left) was jailed for four years and Said Saleh, 20, (right) was sentenced to four years' detention in a Young Offenders Institute . One of the victims told the Oxford Mail: 'When I used to go missing I would swear at my mum and I didn't realise I was being really nasty to her. The men put me against my family – it was really clever. When I started hanging around with them I felt important. 'I had no friends and they were the only people left to talk to. It was a big part of my life and I was scared. I felt like all my friends were making new memories and I wasn't part of them. 'Calling people ""slags"" as the defence did in this case stops other girls from coming forward. I would say to other girls to think about the future. I never wanted to do it. I never wanted to have sex with them but I thought that's what friends did.' Thames Valley Police launched Operation Reportage after receiving a tip-off about the men's activities and eventually tracked down numerous teenager girls who had been molested. Detective Inspector Steve Raffield from Banbury Force CID said: 'This result would not have been possible without the bravery of the victims. 'I would like to thank them for coming forward and giving evidence in this case. As in all trials without their testimony we would not be where we are today. 'As a result young people will be safeguarded while these men will have time to reflect upon their actions in prison.' Convicted: Takudzwa Hova, 21, (left) was sentenced to six years' imprisonment, while Zsolt Szalontai, 18, (right) was sentenced to three years' detention in a Young Offenders' Institute after being found guilty of rape . Justice: The judge rejected the argument put forward by the defence at Oxford Crown Court (pictured), who accused the girls of coming forward because 'it's better to be a victim than a slag' Those jailed on Friday afternoon at Oxford Crown Court were: Ahmed Hassan-Sule, 21, of Banbury, who was found guilty of 13 counts of sexual activity with a child and one count of assault by penetration. He was sentenced to nine years' imprisonment. Mohamed Saleh, 22, of Banbury, was found guilty of two counts of sexual activity with a child. He was sentenced to four years and nine months' imprisonment. Said Saleh, 20, from Banbury, was found guilty of one count of sexual activity with a child. He was sentenced to four years' detention in a Young Offenders Institute. Takudzwa Hova, 21, of Banbury, was found guilty of one count of sexual activity with a child, two counts of causing or inciting a child to engage in sexual activity and one count of rape. He was sentenced to six years' imprisonment. Kagiso Manase, 26, of Banbury, was found guilty of two counts of sexual activity with a child, two counts of causing or inciting a child to engage in sexual activity and one count of sexual assault. He was sentenced to four years' imprisonment. Manase had also pleaded guilty to possession of identity documents with intent. The offence related to being found in possession or control of a false South African passport and UK residence permit. He was sentenced to one year imprisonment to run consecutively. Zsolt Szalontai, 18, of Banbury, was found guilty of one count of rape. He was sentenced to three years' detention in a Young Offenders' Institute.","Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 ."," all from Banbury, were lured to the parties by the gang, who would then sexually abuse them. The gang were also found guilty of inciting sexual activity with a child, sexual assault, rape and sexual activity with a child. The court heard how the offences took place between 2014 and 2016. The gang were also found guilty of inciting sexual activity with a child, sexual assault, rape and sexual activity with a child. The court heard how the offences took place between 2014 and 2016. The gang were also found guilty",4.0,ous man. 'You were a man who was prepared to take advantage of young girls who were vulnerable and emotionally immature. 'You were a man who was prepared to take advantage of young girls who were vulnerable and emotionally immature. 'You were a man who was prepared to take advantage of young girls who were vulnerable and emotionally immature. 'You were a man who was prepared to take advantage of young girls who were vulnerable and emotionally immature. 'You were a man who was prepared to take advantage of young girls who were vulnerable and emotionally immature.,0.0
